Rank,Word,Count,Frequency
97,seemed,283,0.001301682067604675
98,head,277,0.0012740845679381448
99,last,276,0.0012694849846603899
100,whales,271,0.0012464870682716146
101,see,271,0.0012464870682716146
102,thou,268,0.0012326883184383495
103,way,266,0.0012234891518828393
104,after,265,0.0012188895686050844
105,again,262,0.0012050908187718192
106,your,258,0.0011866924856607992
107,how,255,0.001172893735827534
108,boat,253,0.0011636945692720239
109,may,252,0.001159094985994269
110,did,252,0.001159094985994269
111,white,249,0.0011452962361610038
112,little,249,0.0011452962361610038
113,while,246,0.0011314974863277387
114,round,245,0.0011268979030499837
115,sperm,240,0.0011038999866612084
116,say,240,0.0011038999866612084
117,first,239,0.0010993004033834535
118,three,239,0.0010993004033834535
119,us,237,0.0010901012368279433
120,through,234,0.0010763024869946782
121,stubb,233,0.0010717029037169232
122,every,232,0.0010671033204391683
123,men,230,0.0010579041538836581
124,queequeg,226,0.001039505820772638
125,much,224,0.0010303066542171279
126,being,222,0.001021107487661618
127,well,220,0.0010119083211061078
128,could,216,0.0009935099879950877
129,where,212,0.0009751116548840675
130,off,212,0.0009751116548840675
131,same,212,0.0009751116548840675
132,our,210,0.0009659124883285575
133,never,206,0.0009475141552175373
134,own,205,0.0009429145719397822
135,can,205,0.0009429145719397822
136,himself,204,0.0009383149886620272
137,hand,202,0.0009291158221065172
138,almost,197,0.0009061179057177419
139,good,197,0.0009061179057177419
140,ever,193,0.0008877195726067218
141,go,192,0.0008831199893289668
142,even,191,0.0008785204060512118
143,side,189,0.0008693212394957016
144,thing,188,0.0008647216562179467
145,should,184,0.0008463233231069265
146,too,183,0.0008417237398291715
147,might,183,0.0008417237398291715
148,away,182,0.0008371241565514164
149,look,182,0.0008371241565514164
150,starbuck,179,0.0008233254067181513
151,come,178,0.0008187258234403963
152,made,177,0.0008141262401626413
153,sir,171,0.000786528740496111
154,water,170,0.0007819291572183561
155,many,168,0.0007727299906628459
156,among,167,0.0007681304073850909
157,deck,165,0.0007589312408295808
158,seen,164,0.0007543316575518258
159,without,164,0.0007543316575518258
160,day,162,0.0007451324909963158
161,far,159,0.0007313337411630507
162,eyes,156,0.0007175349913297855
163,cried,156,0.0007175349913297855
164,world,155,0.0007129354080520305
165,oh,154,0.0007083358247742755
166,back,152,0.0006991366582187653
167,sort,152,0.0006991366582187653
168,part,152,0.0006991366582187653
169,nor,151,0.0006945370749410104
170,aye,151,0.0006945370749410104
171,know,150,0.0006899374916632553
172,thought,149,0.0006853379083855002
173,once,149,0.0006853379083855002
174,right,148,0.0006807383251077453
175,life,142,0.000653140825441215
176,boats,141,0.00064854124216346
177,air,140,0.000643941658885705
178,crew,138,0.0006347424923301949
179,whole,137,0.0006301429090524399
180,take,136,0.0006255433257746848
181,against,135,0.0006209437424969298
182,let,135,0.0006209437424969298
183,things,134,0.0006163441592191747
184,thus,134,0.0006163441592191747
185,thee,131,0.0006025454093859096
186,tell,131,0.0006025454093859096
187,night,130,0.0005979458261081545
188,came,130,0.0005979458261081545
189,whale’s,129,0.0005933462428303996
190,pequod,129,0.0005933462428303996
191,god,129,0.0005933462428303996
192,soon,129,0.0005933462428303996
193,each,129,0.0005933462428303996
194,hands,129,0.0005933462428303996
195,feet,127,0.0005841470762748895
196,full,126,0.0005795474929971345
197,small,126,0.0005795474929971345
198,both,125,0.0005749479097193794
199,under,124,0.0005703483264416244
200,line,124,0.0005703483264416244
201,something,123,0.0005657487431638693
202,till,122,0.0005611491598861143
203,think,121,0.0005565495766083593
204,between,120,0.0005519499933306042
205,she,119,0.0005473504100528493
206,don’t,119,0.0005473504100528493
207,found,118,0.0005427508267750942
208,just,117,0.0005381512434973391
209,why,117,0.0005381512434973391
210,whaling,116,0.0005335516602195841
211,towards,115,0.0005289520769418291
212,make,115,0.0005289520769418291
213,nothing,114,0.000524352493664074
214,called,113,0.000519752910386319
215,another,113,0.000519752910386319
216,thy,113,0.000519752910386319
217,poor,112,0.0005151533271085639
218,saw,112,0.0005151533271085639
219,place,112,0.0005151533271085639
220,times,112,0.0005151533271085639
221,heard,110,0.0005059541605530539
222,along,110,0.0005059541605530539
223,body,107,0.0004921554107197888
224,work,106,0.00048755582744203376
225,fish,105,0.00048295624416427874
226,sight,104,0.00047835666088652366
227,flask,101,0.0004645579110532586
228,voyage,101,0.0004645579110532586
229,stand,101,0.0004645579110532586
230,high,101,0.0004645579110532586
231,moment,101,0.0004645579110532586
232,it’s,99,0.0004553587444977485
233,does,98,0.0004507591612199935
234,end,98,0.0004507591612199935
235,shall,98,0.0004507591612199935
236,he’s,98,0.0004507591612199935
237,strange,97,0.00044615957794223845
238,went,97,0.00044615957794223845
239,nantucket,96,0.0004415599946644834
240,however,96,0.0004415599946644834
241,hold,96,0.0004415599946644834
242,few,95,0.00043696041138672836
243,get,95,0.00043696041138672836
244,face,95,0.00043696041138672836
245,that’s,94,0.00043236082810897334
246,because,93,0.0004277612448312183
247,project,92,0.00042316166155346324
248,leviathan,92,0.00042316166155346324
249,also,92,0.00042316166155346324
250,dead,92,0.00042316166155346324
251,whether,91,0.0004185620782757082
252,certain,91,0.0004185620782757082
253,give,90,0.0004139624949979532
254,half,90,0.0004139624949979532
255,stood,90,0.0004139624949979532
256,leg,89,0.0004093629117201982
257,am,89,0.0004093629117201982
258,perhaps,89,0.0004093629117201982
259,indeed,89,0.0004093629117201982
260,true,88,0.0004047633284424431
261,heart,88,0.0004047633284424431
262,new,88,0.0004047633284424431
